Detected GPU: Tesla T4 (Compute Capability 7.5)
Compute Capability < 8 detected, switching to float16 (no native bfloat16)
T4 detected, scaling down hyperparameters: seq_len=512, depth=8, batch_size=65536, window=L
Vocab size: 8,192
Model config: {'sequence_len': 512, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.013297e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011085 | lrm: 0.00 | dt: 8231ms | tok/sec: 7,962 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00024 (4.2%) | loss: 8.074547 | lrm: 0.42 | dt: 1012ms | tok/sec: 64,757 | mfu: 1.3% | epoch: 1 | remaining: 286s    
step 00025 (4.5%) | loss: 7.910858 | lrm: 0.45 | dt: 1013ms | tok/sec: 64,706 | mfu: 1.3% | epoch: 1 | remaining: 285s    
step 00026 (4.9%) | loss: 7.750824 | lrm: 0.49 | dt: 1011ms | tok/sec: 64,845 | mfu: 1.3% | epoch: 1 | remaining: 284s    
step 00027 (5.2%) | loss: 7.603038 | lrm: 0.52 | dt: 1012ms | tok/sec: 64,764 | mfu: 1.3% | epoch: 1 | remaining: 283s    
step 00028 (5.5%) | loss: 7.458827 | lrm: 0.55 | dt: 1013ms | tok/sec: 64,681 | mfu: 1.3% | epoch: 1 | remaining: 282s    
step 00029 (5.9%) | loss: 7.323935 | lrm: 0.59 | dt: 1011ms | tok/sec: 64,812 | mfu: 1.3% | epoch: 1 | remaining: 281s    
step 00030 (6.2%) | loss: 7.197950 | lrm: 0.62 | dt: 1013ms | tok/sec: 64,699 | mfu: 1.3% | epoch: 1 | remaining: 280s    
step 00031 (6.6%) | loss: 7.081866 | lrm: 0.66 | dt: 1011ms | tok/sec: 64,851 | mfu: 1.3% | epoch: 1 | remaining: 279s    
step 00032 (6.9%) | loss: 6.971418 | lrm: 0.69 | dt: 1019ms | tok/sec: 64,325 | mfu: 1.3% | epoch: 1 | remaining: 278s    
step 00033 (7.2%) | loss: 6.866299 | lrm: 0.72 | dt: 1020ms | tok/sec: 64,220 | mfu: 1.3% | epoch: 1 | remaining: 277s    
step 00034 (7.6%) | loss: 6.772741 | lrm: 0.76 | dt: 1017ms | tok/sec: 64,431 | mfu: 1.3% | epoch: 1 | remaining: 276s    
step 00035 (7.9%) | loss: 6.683822 | lrm: 0.79 | dt: 1012ms | tok/sec: 64,755 | mfu: 1.3% | epoch: 1 | remaining: 275s    
step 00036 (8.2%) | loss: 6.599703 | lrm: 0.82 | dt: 1019ms | tok/sec: 64,317 | mfu: 1.3% | epoch: 1 | remaining: 274s    
step 00037 (8.6%) | loss: 6.518752 | lrm: 0.86 | dt: 1017ms | tok/sec: 64,469 | mfu: 1.3% | epoch: 1 | remaining: 273s    
step 00038 (8.9%) | loss: 6.445052 | lrm: 0.89 | dt: 1016ms | tok/sec: 64,495 | mfu: 1.3% | epoch: 1 | remaining: 272s    
step 00039 (9.3%) | loss: 6.376268 | lrm: 0.93 | dt: 1014ms | tok/sec: 64,606 | mfu: 1.3% | epoch: 1 | remaining: 271s    
step 00040 (9.6%) | loss: 6.306155 | lrm: 0.96 | dt: 1023ms | tok/sec: 64,040 | mfu: 1.3% | epoch: 1 | remaining: 270s    
step 00041 (9.9%) | loss: 6.240101 | lrm: 0.99 | dt: 1017ms | tok/sec: 64,444 | mfu: 1.3% | epoch: 1 | remaining: 269s    
step 00042 (10.3%) | loss: 6.183115 | lrm: 1.00 | dt: 1024ms | tok/sec: 64,026 | mfu: 1.3% | epoch: 1 | remaining: 268s    
step 00043 (10.6%) | loss: 6.126554 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,200 | mfu: 1.3% | epoch: 1 | remaining: 267s    
step 00044 (11.0%) | loss: 6.073376 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,217 | mfu: 1.3% | epoch: 1 | remaining: 266s    
step 00045 (11.3%) | loss: 6.028426 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,112 | mfu: 1.3% | epoch: 1 | remaining: 265s    
step 00046 (11.6%) | loss: 5.981394 | lrm: 1.00 | dt: 1019ms | tok/sec: 64,291 | mfu: 1.3% | epoch: 1 | remaining: 264s    
step 00047 (12.0%) | loss: 5.939656 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,184 | mfu: 1.3% | epoch: 1 | remaining: 263s    
step 00048 (12.3%) | loss: 5.897492 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,159 | mfu: 1.3% | epoch: 1 | remaining: 262s    
step 00049 (12.7%) | loss: 5.856083 | lrm: 1.00 | dt: 1026ms | tok/sec: 63,895 | mfu: 1.3% | epoch: 1 | remaining: 261s    
step 00050 (13.0%) | loss: 5.817559 | lrm: 1.00 | dt: 1026ms | tok/sec: 63,890 | mfu: 1.3% | epoch: 1 | remaining: 260s    
step 00051 (13.3%) | loss: 5.779035 | lrm: 1.00 | dt: 1023ms | tok/sec: 64,052 | mfu: 1.3% | epoch: 1 | remaining: 259s    
step 00052 (13.7%) | loss: 5.739784 | lrm: 1.00 | dt: 1023ms | tok/sec: 64,064 | mfu: 1.3% | epoch: 1 | remaining: 258s    
step 00053 (14.0%) | loss: 5.709275 | lrm: 1.00 | dt: 1025ms | tok/sec: 63,954 | mfu: 1.3% | epoch: 1 | remaining: 257s    
step 00054 (14.4%) | loss: 5.673974 | lrm: 1.00 | dt: 1031ms | tok/sec: 63,593 | mfu: 1.3% | epoch: 1 | remaining: 256s    
step 00055 (14.7%) | loss: 5.642256 | lrm: 1.00 | dt: 1033ms | tok/sec: 63,459 | mfu: 1.3% | epoch: 1 | remaining: 255s    
step 00056 (15.1%) | loss: 5.608915 | lrm: 1.00 | dt: 1031ms | tok/sec: 63,591 | mfu: 1.3% | epoch: 1 | remaining: 254s    
step 00057 (15.4%) | loss: 5.577611 | lrm: 1.00 | dt: 1031ms | tok/sec: 63,589 | mfu: 1.3% | epoch: 1 | remaining: 253s    
step 00058 (15.7%) | loss: 5.550765 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,393 | mfu: 1.3% | epoch: 1 | remaining: 252s    
step 00059 (16.1%) | loss: 5.524697 | lrm: 1.00 | dt: 1031ms | tok/sec: 63,551 | mfu: 1.3% | epoch: 1 | remaining: 251s    
step 00060 (16.4%) | loss: 5.500574 | lrm: 1.00 | dt: 1032ms | tok/sec: 63,478 | mfu: 1.3% | epoch: 1 | remaining: 250s    
step 00061 (16.8%) | loss: 5.473433 | lrm: 1.00 | dt: 1031ms | tok/sec: 63,571 | mfu: 1.3% | epoch: 1 | remaining: 249s    
step 00062 (17.1%) | loss: 5.447756 | lrm: 1.00 | dt: 1045ms | tok/sec: 62,702 | mfu: 1.3% | epoch: 1 | remaining: 248s    
step 00063 (17.5%) | loss: 5.419868 | lrm: 1.00 | dt: 1040ms | tok/sec: 63,038 | mfu: 1.3% | epoch: 1 | remaining: 247s    
step 00064 (17.8%) | loss: 5.395003 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,357 | mfu: 1.3% | epoch: 1 | remaining: 246s    
step 00065 (18.2%) | loss: 5.373957 | lrm: 1.00 | dt: 1041ms | tok/sec: 62,961 | mfu: 1.3% | epoch: 1 | remaining: 244s    
step 00066 (18.5%) | loss: 5.353012 | lrm: 1.00 | dt: 1036ms | tok/sec: 63,279 | mfu: 1.3% | epoch: 1 | remaining: 243s    
step 00067 (18.9%) | loss: 5.328529 | lrm: 1.00 | dt: 1041ms | tok/sec: 62,957 | mfu: 1.3% | epoch: 1 | remaining: 242s    
step 00068 (19.2%) | loss: 5.307900 | lrm: 1.00 | dt: 1039ms | tok/sec: 63,063 | mfu: 1.3% | epoch: 1 | remaining: 241s    
step 00069 (19.5%) | loss: 5.281557 | lrm: 1.00 | dt: 1039ms | tok/sec: 63,059 | mfu: 1.3% | epoch: 1 | remaining: 240s    
step 00070 (19.9%) | loss: 5.262620 | lrm: 1.00 | dt: 1044ms | tok/sec: 62,756 | mfu: 1.3% | epoch: 1 | remaining: 239s    
step 00071 (20.2%) | loss: 5.245705 | lrm: 1.00 | dt: 1037ms | tok/sec: 63,194 | mfu: 1.3% | epoch: 1 | remaining: 238s    
step 00072 (20.6%) | loss: 5.224367 | lrm: 1.00 | dt: 1043ms | tok/sec: 62,839 | mfu: 1.3% | epoch: 1 | remaining: 237s    
step 00073 (20.9%) | loss: 5.203551 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,361 | mfu: 1.3% | epoch: 1 | remaining: 236s    
step 00074 (21.3%) | loss: 5.180641 | lrm: 1.00 | dt: 1033ms | tok/sec: 63,431 | mfu: 1.3% | epoch: 1 | remaining: 235s    
step 00075 (21.6%) | loss: 5.163206 | lrm: 1.00 | dt: 1036ms | tok/sec: 63,283 | mfu: 1.3% | epoch: 1 | remaining: 234s    
step 00076 (22.0%) | loss: 5.143769 | lrm: 1.00 | dt: 1042ms | tok/sec: 62,888 | mfu: 1.3% | epoch: 1 | remaining: 233s    
step 00077 (22.3%) | loss: 5.124733 | lrm: 1.00 | dt: 1038ms | tok/sec: 63,150 | mfu: 1.3% | epoch: 1 | remaining: 232s    
step 00078 (22.7%) | loss: 5.111030 | lrm: 1.00 | dt: 1039ms | tok/sec: 63,102 | mfu: 1.3% | epoch: 1 | remaining: 231s    
step 00079 (23.0%) | loss: 5.089319 | lrm: 1.00 | dt: 1036ms | tok/sec: 63,268 | mfu: 1.3% | epoch: 1 | remaining: 230s    
step 00080 (23.4%) | loss: 5.073449 | lrm: 1.00 | dt: 1040ms | tok/sec: 63,021 | mfu: 1.3% | epoch: 1 | remaining: 229s    
step 00081 (23.7%) | loss: 5.057337 | lrm: 1.00 | dt: 1037ms | tok/sec: 63,180 | mfu: 1.3% | epoch: 1 | remaining: 228s    
step 00082 (24.0%) | loss: 5.037067 | lrm: 1.00 | dt: 1032ms | tok/sec: 63,498 | mfu: 1.3% | epoch: 1 | remaining: 227s    
step 00083 (24.4%) | loss: 5.019725 | lrm: 1.00 | dt: 1033ms | tok/sec: 63,417 | mfu: 1.3% | epoch: 1 | remaining: 226s    
step 00084 (24.7%) | loss: 4.997978 | lrm: 1.00 | dt: 1036ms | tok/sec: 63,283 | mfu: 1.3% | epoch: 1 | remaining: 225s    
step 00085 (25.1%) | loss: 4.988153 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,411 | mfu: 1.3% | epoch: 1 | remaining: 224s    
step 00086 (25.4%) | loss: 4.974593 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,355 | mfu: 1.3% | epoch: 1 | remaining: 223s    
step 00087 (25.8%) | loss: 4.955780 | lrm: 1.00 | dt: 1033ms | tok/sec: 63,451 | mfu: 1.3% | epoch: 1 | remaining: 222s    
step 00088 (26.1%) | loss: 4.943418 | lrm: 1.00 | dt: 1035ms | tok/sec: 63,348 | mfu: 1.3% | epoch: 1 | remaining: 221s    
step 00089 (26.5%) | loss: 4.925283 | lrm: 1.00 | dt: 1030ms | tok/sec: 63,610 | mfu: 1.3% | epoch: 1 | remaining: 220s    
step 00090 (26.8%) | loss: 4.906786 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,407 | mfu: 1.3% | epoch: 1 | remaining: 219s    
step 00091 (27.1%) | loss: 4.893089 | lrm: 1.00 | dt: 1027ms | tok/sec: 63,786 | mfu: 1.3% | epoch: 1 | remaining: 218s    
step 00092 (27.5%) | loss: 4.877912 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,397 | mfu: 1.3% | epoch: 1 | remaining: 217s    
step 00093 (27.8%) | loss: 4.865536 | lrm: 1.00 | dt: 1033ms | tok/sec: 63,416 | mfu: 1.3% | epoch: 1 | remaining: 215s    
step 00094 (28.2%) | loss: 4.853979 | lrm: 1.00 | dt: 1032ms | tok/sec: 63,532 | mfu: 1.3% | epoch: 1 | remaining: 214s    
step 00095 (28.5%) | loss: 4.843082 | lrm: 1.00 | dt: 1031ms | tok/sec: 63,585 | mfu: 1.3% | epoch: 1 | remaining: 213s    
step 00096 (28.9%) | loss: 4.828052 | lrm: 1.00 | dt: 1033ms | tok/sec: 63,460 | mfu: 1.3% | epoch: 1 | remaining: 212s    
step 00097 (29.2%) | loss: 4.813512 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,386 | mfu: 1.3% | epoch: 1 | remaining: 211s    
step 00098 (29.6%) | loss: 4.795403 | lrm: 1.00 | dt: 1034ms | tok/sec: 63,395 | mfu: 1.3% | epoch: 1 | remaining: 210s    
step 00099 (29.9%) | loss: 4.783837 | lrm: 1.00 | dt: 1030ms | tok/sec: 63,618 | mfu: 1.3% | epoch: 1 | remaining: 209s    
step 00100 (30.2%) | loss: 4.764790 | lrm: 1.00 | dt: 1029ms | tok/sec: 63,661 | mfu: 1.3% | epoch: 1 | remaining: 208s    
step 00101 (30.6%) | loss: 4.746911 | lrm: 1.00 | dt: 1025ms | tok/sec: 63,913 | mfu: 1.3% | epoch: 1 | remaining: 207s    
step 00102 (30.9%) | loss: 4.734093 | lrm: 1.00 | dt: 1027ms | tok/sec: 63,785 | mfu: 1.3% | epoch: 1 | remaining: 206s    
step 00103 (31.3%) | loss: 4.724396 | lrm: 1.00 | dt: 1026ms | tok/sec: 63,881 | mfu: 1.3% | epoch: 1 | remaining: 205s    
step 00104 (31.6%) | loss: 4.708994 | lrm: 1.00 | dt: 1030ms | tok/sec: 63,615 | mfu: 1.3% | epoch: 1 | remaining: 204s    
step 00105 (32.0%) | loss: 4.693814 | lrm: 1.00 | dt: 1023ms | tok/sec: 64,034 | mfu: 1.3% | epoch: 1 | remaining: 203s    
step 00106 (32.3%) | loss: 4.676536 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,976 | mfu: 1.3% | epoch: 1 | remaining: 202s    
step 00107 (32.6%) | loss: 4.659584 | lrm: 1.00 | dt: 1028ms | tok/sec: 63,756 | mfu: 1.3% | epoch: 1 | remaining: 201s    
step 00108 (33.0%) | loss: 4.650355 | lrm: 1.00 | dt: 1031ms | tok/sec: 63,572 | mfu: 1.3% | epoch: 1 | remaining: 200s    
step 00109 (33.3%) | loss: 4.637608 | lrm: 1.00 | dt: 1028ms | tok/sec: 63,734 | mfu: 1.3% | epoch: 1 | remaining: 199s    
step 00110 (33.7%) | loss: 4.624692 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,980 | mfu: 1.3% | epoch: 1 | remaining: 198s    
step 00111 (34.0%) | loss: 4.613111 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,114 | mfu: 1.3% | epoch: 1 | remaining: 197s    
step 00112 (34.3%) | loss: 4.601776 | lrm: 1.00 | dt: 1030ms | tok/sec: 63,596 | mfu: 1.3% | epoch: 1 | remaining: 196s    
step 00113 (34.7%) | loss: 4.583450 | lrm: 1.00 | dt: 1027ms | tok/sec: 63,790 | mfu: 1.3% | epoch: 1 | remaining: 195s    
step 00114 (35.0%) | loss: 4.574016 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,995 | mfu: 1.3% | epoch: 1 | remaining: 194s    
step 00115 (35.4%) | loss: 4.559624 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,990 | mfu: 1.3% | epoch: 1 | remaining: 193s    
step 00116 (35.7%) | loss: 4.545348 | lrm: 1.00 | dt: 1030ms | tok/sec: 63,647 | mfu: 1.3% | epoch: 1 | remaining: 192s    
step 00117 (36.1%) | loss: 4.534898 | lrm: 1.00 | dt: 1032ms | tok/sec: 63,516 | mfu: 1.3% | epoch: 1 | remaining: 191s    
step 00118 (36.4%) | loss: 4.523407 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,977 | mfu: 1.3% | epoch: 1 | remaining: 190s    
step 00119 (36.7%) | loss: 4.515327 | lrm: 1.00 | dt: 1027ms | tok/sec: 63,825 | mfu: 1.3% | epoch: 1 | remaining: 189s    
step 00120 (37.1%) | loss: 4.503734 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,991 | mfu: 1.3% | epoch: 1 | remaining: 188s    
step 00121 (37.4%) | loss: 4.486659 | lrm: 1.00 | dt: 1024ms | tok/sec: 64,016 | mfu: 1.3% | epoch: 1 | remaining: 187s    
step 00122 (37.8%) | loss: 4.482105 | lrm: 1.00 | dt: 1027ms | tok/sec: 63,794 | mfu: 1.3% | epoch: 1 | remaining: 186s    
step 00123 (38.1%) | loss: 4.470144 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,990 | mfu: 1.3% | epoch: 1 | remaining: 185s    
step 00124 (38.5%) | loss: 4.456726 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,124 | mfu: 1.3% | epoch: 1 | remaining: 184s    
step 00125 (38.8%) | loss: 4.449573 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,194 | mfu: 1.3% | epoch: 1 | remaining: 183s    
step 00126 (39.1%) | loss: 4.442022 | lrm: 1.00 | dt: 1020ms | tok/sec: 64,274 | mfu: 1.3% | epoch: 1 | remaining: 182s    
step 00127 (39.5%) | loss: 4.434913 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,980 | mfu: 1.3% | epoch: 1 | remaining: 181s    
step 00128 (39.8%) | loss: 4.417556 | lrm: 1.00 | dt: 1019ms | tok/sec: 64,345 | mfu: 1.3% | epoch: 1 | remaining: 180s    
step 00129 (40.2%) | loss: 4.405634 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,969 | mfu: 1.3% | epoch: 1 | remaining: 179s    
step 00130 (40.5%) | loss: 4.391034 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,204 | mfu: 1.3% | epoch: 1 | remaining: 177s    
step 00131 (40.8%) | loss: 4.378953 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,158 | mfu: 1.3% | epoch: 1 | remaining: 176s    
step 00132 (41.2%) | loss: 4.367687 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,098 | mfu: 1.3% | epoch: 1 | remaining: 175s    
step 00133 (41.5%) | loss: 4.354043 | lrm: 1.00 | dt: 1020ms | tok/sec: 64,230 | mfu: 1.3% | epoch: 1 | remaining: 174s    
step 00134 (41.9%) | loss: 4.344087 | lrm: 1.00 | dt: 1020ms | tok/sec: 64,226 | mfu: 1.3% | epoch: 1 | remaining: 173s    
step 00135 (42.2%) | loss: 4.332725 | lrm: 1.00 | dt: 1020ms | tok/sec: 64,238 | mfu: 1.3% | epoch: 1 | remaining: 172s    
step 00136 (42.5%) | loss: 4.320874 | lrm: 1.00 | dt: 1019ms | tok/sec: 64,298 | mfu: 1.3% | epoch: 1 | remaining: 171s    
step 00137 (42.9%) | loss: 4.311760 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,122 | mfu: 1.3% | epoch: 1 | remaining: 170s    
step 00138 (43.2%) | loss: 4.307221 | lrm: 1.00 | dt: 1023ms | tok/sec: 64,046 | mfu: 1.3% | epoch: 1 | remaining: 169s    
step 00139 (43.6%) | loss: 4.294962 | lrm: 1.00 | dt: 1020ms | tok/sec: 64,268 | mfu: 1.3% | epoch: 1 | remaining: 168s    
step 00140 (43.9%) | loss: 4.284946 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,211 | mfu: 1.3% | epoch: 1 | remaining: 167s    
step 00141 (44.2%) | loss: 4.281022 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,140 | mfu: 1.3% | epoch: 1 | remaining: 166s    
step 00142 (44.6%) | loss: 4.272259 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,107 | mfu: 1.3% | epoch: 1 | remaining: 165s    
step 00143 (44.9%) | loss: 4.265098 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,122 | mfu: 1.3% | epoch: 1 | remaining: 164s    
step 00144 (45.3%) | loss: 4.255520 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,183 | mfu: 1.3% | epoch: 1 | remaining: 163s    
step 00145 (45.6%) | loss: 4.254128 | lrm: 1.00 | dt: 1023ms | tok/sec: 64,084 | mfu: 1.3% | epoch: 1 | remaining: 162s    
step 00146 (45.9%) | loss: 4.248745 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,146 | mfu: 1.3% | epoch: 1 | remaining: 161s    
step 00147 (46.3%) | loss: 4.241664 | lrm: 1.00 | dt: 1024ms | tok/sec: 64,026 | mfu: 1.3% | epoch: 1 | remaining: 160s    
step 00148 (46.6%) | loss: 4.230865 | lrm: 1.00 | dt: 1024ms | tok/sec: 63,976 | mfu: 1.3% | epoch: 1 | remaining: 159s    
step 00149 (47.0%) | loss: 4.228022 | lrm: 1.00 | dt: 1020ms | tok/sec: 64,222 | mfu: 1.3% | epoch: 1 | remaining: 158s    
step 00150 (47.3%) | loss: 4.219606 | lrm: 1.00 | dt: 1022ms | tok/sec: 64,105 | mfu: 1.3% | epoch: 1 | remaining: 157s    
step 00151 (47.6%) | loss: 4.204997 | lrm: 1.00 | dt: 1026ms | tok/sec: 63,889 | mfu: 1.3% | epoch: 1 | remaining: 156s    
step 00152 (48.0%) | loss: 4.198322 | lrm: 1.00 | dt: 1032ms | tok/sec: 63,507 | mfu: 1.3% | epoch: 1 | remaining: 155s    
step 00153 (48.3%) | loss: 4.189555 | lrm: 1.00 | dt: 1021ms | tok/sec: 64,171 | mfu: 1.3% | epoch: 1 | remaining: 154s    
step 00154 (48.7%) | loss: 4.192629 | lrm: 1.00 | dt: 1024ms | tok/sec: 64,020 | mfu: 1.3% | epoch: 1 | remaining: 153s    
step 00155 (49.0%) | loss: 4.187840 | lrm: 1.00 | dt: 1023ms | tok/sec: 64,059 | mfu: 1.3% | epoch: 1 | remaining: 152s    
step 00156 (49.4%) | loss: 4.182048 | lrm: 1.00 | dt: 1026ms | tok/sec: 63,898 | mfu: 1.3% | epoch: 1 | remaining: 151s    
step 00157 (49.7%) | loss: 4.175971 | lrm: 1.00 | dt: 1029ms | tok/sec: 63,676 | mfu: 1.3% | epoch: 1 | remaining: 150s    
step 00158 (50.0%) | loss: 4.166484 | lrm: 1.00 | dt: 1028ms | tok/sec: 63,723 | mfu: 1.3% | epoch: 1 | remaining: 149s    
step 00159 (50.4%) | loss: 4.162265 | lrm: 0.99 | dt: 1019ms | tok/sec: 64,292 | mfu: 1.3% | epoch: 1 | remaining: 148s    
step 00160 (50.7%) | loss: 4.158378 | lrm: 0.99 | dt: 1032ms | tok/sec: 63,523 | mfu: 1.3% | epoch: 1 | remaining: 147s    
step 00161 (51.1%) | loss: 4.152425 | lrm: 0.98 | dt: 1031ms | tok/sec: 63,540 | mfu: 1.3% | epoch: 1 | remaining: 146s    
step 00162 (51.4%) | loss: 4.142046 | lrm: 0.97 | dt: 1030ms | tok/sec: 63,647 | mfu: 1.3% | epoch: 1 | remaining: 145s    
step 00163 (51.8%) | loss: 4.133120 | lrm: 0.96 | dt: 1028ms | tok/sec: 63,743 | mfu: 1.3% | epoch: 1 | remaining: 144s    
step 00164 (52.1%) | loss: 4.123219 | lrm: 0.96 | dt: 1032ms | tok/sec: 63,523 | mfu: 1.3% | epoch: 1 | remaining: 143s    
